"SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","YEAR.DOWNLOADED","X"
"MLS Listing",NA,"Single Family Residential","746 Friedens Rd","St Charles","MO","63303",176000,3,2,"Francis Howell North",1418,13765,1950,24,124,NA,"Active","","","http://www.redfin.com/MO/St-Charles/746-Friedens-Rd-63303/home/103285409","MARIS","18093895","N","Y",38.7646428,-90.5202628,2018,1281
"MLS Listing",NA,"Single Family Residential","805 Manitou Dr","St Louis","MO","63119",165900,3,1,"Webster Groves",960,7588,1955,52,173,NA,"Active","","","http://www.redfin.com/MO/St-Louis/805-Manitou-Dr-63119/home/93511494","MARIS","18089225","N","Y",38.6036494,-90.3733826,2018,510
"MLS Listing",NA,"Single Family Residential","740 Dickson St","St Louis","MO","63122",619900,4,3,"Kirkwood",2864,10542,1947,8,216,NA,"Active","January-6-2019 1:00 PM","January-6-2019 3:00 PM","http://www.redfin.com/MO/Kirkwood/740-Dickson-St-63122/home/63628130","MARIS","18095556","N","Y",38.5923067,-90.3936623,2018,1100
"MLS Listing",NA,"Multi-Family (2-4 Unit)","7128 Idaho Ave","St Louis","MO","63111",75000,1,1,"South City",NA,2657,1958,27,NA,NA,"Active","","","http://www.redfin.com/MO/St-Louis/7128-Idaho-Ave-63111/home/93710275","MARIS","18093638","N","Y",38.5543509,-90.260636,2018,169
"MLS Listing",NA,"Single Family Residential","8436 Big Bend Blvd","St Louis","MO","63119",350000,3,2,"Webster Groves",1833,10062,1923,125,191,NA,"Active","","","http://www.redfin.com/MO/Webster-Groves/8436-Big-Bend-Blvd-63119/home/93525082","MARIS","18070830","N","Y",38.585615,-90.351107,2018,912
"MLS Listing",NA,"Single Family Residential","2812 Nebraska Ave","St Louis","MO","63118",65000,3,2,"Central East",1716,958,1885,135,38,NA,"Active","","","http://www.redfin.com/MO/St-Louis/2812-Nebraska-Ave-63118/home/93691851","MARIS","18067074","N","Y",38.6039764,-90.2300543,2018,138
"MLS Listing",NA,"Condo/Co-op","6 Arbors At Frontenac","Frontenac","MO","63131",850900,3,4,"Ladue",3411,5227,NA,228,249,600,"Active","","","http://www.redfin.com/MO/Frontenac/10601-Clayton-Rd-63131/home/160365663","MARIS","19042834","N","Y",38.6336552,-90.4133394,2020,1780
"MLS Listing",NA,"Single Family Residential","0 Tbb Terry Park Subdivision","St Louis","MO","63104",292300,5,3,"Central East",2752,NA,NA,346,106,NA,"Active","","","http://www.redfin.com/MO/St-Louis/3200-Eads-Ave-63104/home/62685151","MARIS","18004069","N","Y",38.617697,-90.233312,2018,825
"New Construction Plan",NA,"Single Family Residential","Maple","Saint Charles","MO","63301",240900,3,2,"Manors at Charlestowne Crossing",NA,NA,NA,NA,NA,NA,"Active","","","http://www.redfin.com/MO/Saint-Charles/Manors-at-Charlestowne-Crossing/Maple/home/145517845","NewHomeSource.com","Plan-61347429","N","Y",38.8272885,-90.4817649,2018,1571
"MLS Listing",NA,"Single Family Residential","620 N Forest Ave","Webster Groves","MO","63119",649900,4,3,"Webster Groves",3048,6839,2015,84,213,NA,"Active","January-6-2019 12:00 PM","January-6-2019 2:00 PM","http://www.redfin.com/MO/Webster-Groves/620-N-Forest-Ave-63119/home/62686506","MARIS","18076731","N","Y",38.6063142,-90.3427738,2018,1111
"MLS Listing",NA,"Condo/Co-op","5376 N Kenrick Parke Dr #304","St Louis","MO","63119",149900,2,2,"Affton",1122,2788,1984,66,134,306,"Active","","","http://www.redfin.com/MO/St-Louis/5376-Kenrick-Parke-Dr-63119/unit-304/home/93523334","MARIS","18084487","N","Y",38.5822027,-90.3330835,2018,449
"MLS Listing",NA,"Single Family Residential","1912 Overland","St Louis","MO","63114",109900,4,2,"Ritenour",1265,6229,1952,28,87,NA,"Active","","","http://www.redfin.com/MO/St-Louis/1912-Overland-Dr-63114/home/93437828","MARIS","20001837","N","Y",38.6916787,-90.3767028,2020,1885
"MLS Listing",NA,"Ranch","0 Grafton Ferry Rd","Unincorporated","MO","63301",850500,0,NA,"St. Charles",NA,3528360,NA,261,NA,NA,"Active","","","http://www.redfin.com/MO/Unincorporated/0-Grafton-Ferry-Rd-63301/home/145335966","MARIS","18029578","N","Y",38.939781,-90.435788,2018,1441
"MLS Listing",NA,"Single Family Residential","3819 Robert","St Louis","MO","63116",325606,3,3,"South City",1920,NA,NA,262,170,17,"Active","","","http://www.redfin.com/MO/St-Louis/3819-Robert-Ave-63116/home/93679220","MARIS","18026429","N","Y",38.5587639,-90.270491,2018,879
"MLS Listing",NA,"Condo/Co-op","8859 Flamingo Ct","Brentwood","MO","63144",164900,2,1,"Brentwood",916,2827,1950,55,180,178,"Active","","","http://www.redfin.com/MO/St-Louis/8859-Flamingo-Ct-63144/home/93489637","MARIS","18089309","N","Y",38.6287771,-90.3501226,2018,505
"MLS Listing",NA,"Single Family Residential","15 S Spoede Rd","St Louis","MO","63141",779000,4,4,"Ladue",3018,44867,1956,88,258,NA,"Active","","","http://www.redfin.com/MO/Creve-Coeur/15-S-Spoede-Rd-63141/home/93472927","MARIS","19083934","N","Y",38.654431,-90.415832,2020,2127
"New Construction Plan",NA,"Single Family Residential","The Denali II","Saint Charles","MO","63301",444000,4,2.5,"Villages at Sandfort Farm",3614,NA,NA,NA,123,NA,"Active","","","http://www.redfin.com/MO/Saint-Charles/Villages-at-Sandfort-Farm/The-Denali-II/home/147998443","NewHomeSource.com","Plan-61562012","N","Y",38.7980405,-90.5517474,2018,1592
"MLS Listing",NA,"Single Family Residential","7129 Washington Ave","University City","MO","63130",524000,4,3,"University City",2442,9601,1918,92,215,NA,"Active","","","http://www.redfin.com/MO/University-City/7129-Washington-Ave-63130/home/93469206","MARIS","18076901","N","Y",38.6562459,-90.3176083,2018,1062
"For-Sale-by-Owner Listing",NA,"Single Family Residential","206 Perry St","St Charles","MO","63301",187900,2,1,"Saint Charles",936,6000,1930,316,201,NA,"Active","","","http://www.redfin.com/MO/St-Charles/206-Perry-St-63301/home/103350613","Fizber.com","4951152","N","Y",38.7771396,-90.485428,2018,1484
"MLS Listing",NA,"Single Family Residential","17 Upper Ladue Rd","Ladue","MO","63124",2099000,4,5,"Ladue",4824,87120,NA,83,435,33,"Active","","","http://www.redfin.com/MO/St-Louis/17-Upper-Ladue-Rd-63124/home/93626936","MARIS","19080086","N","Y",38.6456799,-90.3900845,2020,1704
"MLS Listing",NA,"Single Family Residential","35 Magnolia","Ladue","MO","63124",989900,5,5,"Ladue",2564,7200,NA,4,386,NA,"Active","","","http://www.redfin.com/MO/St-Louis/35-Magnolia-Dr-63124/home/93480457","MARIS","20007572","N","Y",38.6360561,-90.3876963,2020,1824
"MLS Listing",NA,"Single Family Residential","4958 Holly Hills Ave","St Louis","MO","63109",235000,3,1,"South City",1709,4835,1925,43,138,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4958-Holly-Hills-Ave-63109/home/93771109","MARIS","18090896","N","Y",38.576908,-90.285389,2018,689
"MLS Listing",NA,"Single Family Residential","2657 Accomac","St Louis","MO","63104",165000,3,3,"Central East",2108,3049,1912,366,78,NA,"Active","","","http://www.redfin.com/MO/St-Louis/2657-Accomac-St-63104/home/92735728","MARIS","18000353","N","Y",38.6097672,-90.2242647,2018,507
"MLS Listing",NA,"Single Family Residential","6410 Saint Louis Ave","St Louis","MO","63121",8900,2,1,"Normandy",1175,3441,1924,34,8,NA,"Active","","","http://www.redfin.com/MO/St-Louis/6410-St-Louis-Ave-63121/home/93444860","MARIS","19090961","N","Y",38.6854119,-90.2881079,2020,1902
"MLS Listing",NA,"Condo/Co-op","925 S Hanley Rd Unit F","St Louis","MO","63105",175000,2,1,"Clayton",1080,1437,1940,7,162,364,"Active","","","http://www.redfin.com/MO/St-Louis/925-S-Hanley-Rd-63105/unit-F/home/93479427","MARIS","20002477","N","Y",38.6383689,-90.3360309,2020,1619
"MLS Listing",NA,"Single Family Residential","5239 Shaw Ave","St Louis","MO","63110",459000,3,3,"South City",1915,5097,NA,143,240,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5239-Shaw-Ave-63110/home/93727992","MARIS","18065227","N","Y",38.618381,-90.273768,2018,1004
"MLS Listing",NA,"Multi-Family (2-4 Unit)","4930 Wise Ave","St Louis","MO","63110",249000,4,4,"South City",NA,5489,1919,140,NA,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4930-Wise-Ave-63110/home/93726650","MARIS","18065744","N","Y",38.626215,-90.266225,2018,751
"MLS Listing",NA,"Single Family Residential","7015 Waterman Ave","St Louis","MO","63130",529500,3,3,"University City",2296,5881,1920,101,231,NA,"Active","","","http://www.redfin.com/MO/University-City/7015-Waterman-Ave-63130/home/62731683","MARIS","18076695","N","Y",38.6534006,-90.3153124,2018,1065
"MLS Listing",NA,"Single Family Residential","602 N 6th St","St Charles","MO","63301",350000,4,4,"St. Charles",2898,10237,1880,2,121,NA,"Active","","","http://www.redfin.com/MO/St-Charles/602-N-6th-St-63301/home/62753808","MARIS","19000020","N","Y",38.788176,-90.4856493,2018,1247
"MLS Listing",NA,"Multi-Family (2-4 Unit)","3657 Gasconade","St Louis","MO","63116",69900,2,2,"South City",1866,4269,1925,24,37,NA,"Active","","","http://www.redfin.com/MO/St-Louis/3657-Gasconade-St-63116/home/93704513","MARIS","18093929","N","Y",38.5828778,-90.2466538,2018,146
"New Construction Plan",NA,"Single Family Residential","The Charleston II - 3 Car Garage","Saint Charles","MO","63301",349900,4,2.5,"Charlestowne Crossing",2850,NA,NA,NA,123,NA,"Active","","","http://www.redfin.com/MO/Saint-Charles/Charlestowne-Crossing/The-Charleston-II-3-Car-Garage/home/144901407","NewHomeSource.com","Plan-71477292","N","Y",38.827639,-90.48084,2018,1543
"MLS Listing",NA,"Single Family Residential","8347 Cornell Ave","University City","MO","63132",675000,6,5,"University City",3817,22216,1950,7,177,NA,"Active","","","http://www.redfin.com/MO/St-Louis/8347-Cornell-Ave-63132/home/93459626","MARIS","20006308","N","Y",38.6629812,-90.3525152,2020,1848
"MLS Listing",NA,"Vacant Land","5122 Hilda Ave","St Louis","MO","63123",39900,NA,NA,"Bayless",NA,6534,NA,612,NA,NA,"Active","","","http://www.redfin.com/MO/Affton/5122-Hilda-Ave-63123/home/113846583","MARIS","17035587","N","Y",38.560939,-90.3065079,2018,75
"MLS Listing",NA,"Single Family Residential","4749 Nebraska Ave","St Louis","MO","63111",11900,2,1,"South City",1736,3920,1909,35,7,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4749-Nebraska-Ave-63111/home/93707003","MARIS","18092292","N","Y",38.5696491,-90.2376324,2018,15
"MLS Listing",NA,"Single Family Residential","634 Lee Ave","Webster Groves","MO","63119",520000,4,3,"Webster Groves",2285,16901,1951,25,228,NA,"Active","","","http://www.redfin.com/MO/Webster-Groves/634-Lee-Ave-63119/home/93511027","MARIS","18092596","N","Y",38.598704,-90.3724019,2018,1060
"MLS Listing",NA,"Single Family Residential","139 W Kirkham Ave","Webster Groves","MO","63119",219500,2,3,"Webster Groves",1163,6098,1926,140,189,NA,"Active","","","http://www.redfin.com/MO/Webster-Groves/139-W-Kirkham-Ave-63119/home/84926586","MARIS","18066515","N","Y",38.597173,-90.3600703,2018,663
"MLS Listing",NA,"Single Family Residential","5843 Clemens Ave","St Louis","MO","63112",55000,3,2,"Central West",2184,11108,1895,109,25,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5843-Clemens-Ave-63112/home/93739303","MARIS","19078996","N","Y",38.6569524,-90.2879611,2020,1949
"For-Sale-by-Owner Listing",NA,"Single Family Residential","3616 Holt Ave","St. Louis","MO","63116",157400,3,1,"Saint Louis",974,4633,1939,173,162,NA,"Active","","","http://www.redfin.com/MO/St-Louis/3616-Holt-Ave-63116/home/93765699","Fizber.com","4971067","N","Y",38.591938,-90.2577776,2018,479
"MLS Listing",NA,"Single Family Residential","2909 Indiana Ave","St Louis","MO","63118",374900,3,3,"Central East",2530,NA,NA,147,148,17,"Active","January-6-2019 1:00 PM","January-6-2019 3:00 PM","http://www.redfin.com/MO/St-Louis/2909-Indiana-Ave-63118/home/144767065","MARIS","18064387","N","Y",38.6004396,-90.2230229,2018,933
"MLS Listing",NA,"Single Family Residential","7740 Jerome Ave","St Louis","MO","63143",95000,2,2,"Maplewood-Rchmnd Hts",735,7013,1913,27,129,NA,"Active","","","http://www.redfin.com/MO/Maplewood/7740-Jerome-Ave-63143/home/62694484","MARIS","18093763","N","Y",38.6172323,-90.3282457,2018,218
"MLS Listing",NA,"Multi-Family (5+ Unit)","5803 Cabanne Ave","St Louis","MO","63112",875000,NA,NA,"Central West",26664,32304,1924,21,33,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5803-Cabanne-Ave-63112/home/93723949","MARIS","18094594","N","Y",38.6592879,-90.286346,2018,1158
"MLS Listing",NA,"Single Family Residential","1 Tbb-hamilton At Provence","St Charles","MO","63301",276900,3,2,"St. Charles",1758,NA,NA,1154,158,27,"Active","","","http://www.redfin.com/MO/Saint-Charles/300-1st-Capitol-Dr-63301/home/147123206","MARIS","15058739","N","Y",38.780599,-90.483787,2018,1470
"MLS Listing",NA,"Single Family Residential","111 Saint George","St Louis","MO","63119",184900,3,2,"Webster Groves",1064,8015,1969,43,174,NA,"Active","","","http://www.redfin.com/MO/St-Louis/111-Saint-George-63119/home/148184339","MARIS","18081671","N","Y",38.574205,-90.356289,2018,577
"MLS Listing",NA,"Single Family Residential","7361 Teasdale Ave","University City","MO","63130",575000,4,5,"University City",2674,11500,1935,185,215,NA,"Active","","","http://www.redfin.com/MO/University-City/7361-Teasdale-Ave-63130/home/93468926","MARIS","18052996","N","Y",38.6578369,-90.3282395,2018,1088
"MLS Listing",NA,"Single Family Residential","5524 Dewey Ave","St Louis","MO","63116",39900,4,1,"South City",1173,4356,1925,20,34,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5524-Dewey-Ave-63116/home/93761613","MARIS","18094802","N","Y",38.5707463,-90.256855,2018,77
"MLS Listing",NA,"Single Family Residential","52 Berkshire Dr","St Louis","MO","63117",748800,4,4,"Ladue",2910,29272,1941,20,257,NA,"Active","","","http://www.redfin.com/MO/Richmond-Heights/52-Berkshire-Dr-63117/home/93489823","MARIS","20000044","N","Y",38.6343965,-90.349942,2020,1654
"MLS Listing",NA,"Single Family Residential","1 Tbb Davinci 1.5 At Provence","St Charles","MO","63301",305900,4,3,"St. Charles",2283,NA,NA,106,134,27,"Active","","","http://www.redfin.com/MO/St-Charles/1-Tbb-Davinci-1-5-At-Provence-63301/home/147123182","MARIS","18075208","N","Y",38.803033,-90.485799,2018,1397
"New Construction Plan",NA,"Single Family Residential","Bristol","Saint Charles","MO","63301",336900,4,2.5,"The Villages at Sandfort Farm",2754,NA,NA,NA,122,NA,"Active","","","http://www.redfin.com/MO/St-Charles/The-Villages-at-Sandfort-Farm/Bristol/home/148310762","NewHomeSource.com","Plan-61573769","N","Y",38.7956412,-90.5562885,2018,1576
"MLS Listing",NA,"Single Family Residential","11 Spoede Ln","St Louis","MO","63141",2175000,4,6,"Ladue",5400,36155,NA,126,403,NA,"Active","","","http://www.redfin.com/MO/Creve-Coeur/11-Spoede-Ln-63141/home/93473307","MARIS","19070396","N","Y",38.6600016,-90.4180963,2020,1744
"MLS Listing",NA,"Single Family Residential","3230 S Canal Way","St Charles","MO","63301",435000,5,4,"Orchard Farm",2638,4792,2006,27,165,77,"Active","","","http://www.redfin.com/MO/St-Charles/3230-S-Canal-Way-63301/home/103251949","MARIS","18093766","N","Y",38.8381346,-90.4983767,2018,1290
"MLS Listing",NA,"Condo/Co-op","4501 Lindell Unit 8B","St Louis","MO","63108",340000,1,2,"Central West",1331,NA,1963,36,255,879,"Active","","","http://www.redfin.com/MO/St-Louis/4501-Lindell-Blvd-63108/unit-8B/home/93724559","MARIS","18092060","N","Y",38.642951,-90.2581168,2018,894
"MLS Listing",NA,"Multi-Family (2-4 Unit)","5705 Julian Ave","St Louis","MO","63112",48900,2,1,"Central West",2916,3964,1908,87,17,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5705-Julian-Ave-63112/home/93722218","MARIS","18070032","N","Y",38.66487,-90.282567,2018,96
"MLS Listing",NA,"Single Family Residential","7808 Leona St","St Louis","MO","63123",119900,3,1,"South City",960,6273,1950,84,125,NA,"Active","","","http://www.redfin.com/MO/St-Louis/7808-Leona-St-63123/home/93784408","MARIS","18081751","N","Y",38.5559012,-90.2797502,2018,299
"MLS Listing",NA,"Single Family Residential","805 Treadway Ave","St Charles","MO","63301",239900,4,3,"St. Charles",1426,11326,1972,16,168,NA,"Active","","","http://www.redfin.com/MO/St-Charles/805-Treadway-Ave-63301/home/103350196","MARIS","18095181","N","Y",38.7918693,-90.5203735,2018,1269
"MLS Listing",NA,"Single Family Residential","2349 Chemin Ave","St Charles","MO","63301",325000,3,2,"St. Charles",1734,9148,NA,281,187,27,"Active","","","http://www.redfin.com/MO/St-Charles/2349-Chemin-Ave-63301/home/143243509","MARIS","18020983","N","Y",38.804858,-90.4862797,2018,1444
"MLS Listing",NA,"Single Family Residential","7361 Olive Blvd","University City","MO","63130",135000,2,1,"University City",1460,8398,1920,52,92,NA,"Active","","","http://www.redfin.com/MO/University-City/7361-Olive-Blvd-63130/home/93458389","MARIS","19089026","N","Y",38.6715784,-90.3287289,2020,1913
"MLS Listing",NA,"Single Family Residential","4734 Adkins Ave","St Louis","MO","63116",55586,2,1,"South City",NA,3485,1939,485,NA,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4734-Adkins-Ave-63116/home/93761284","MARIS","17071154","N","Y",38.5804133,-90.2637464,2018,115
"MLS Listing",NA,"Single Family Residential","515 High Mdw","Frontenac","MO","63131",710000,4,4,"Kirkwood",2750,42558,1963,9,258,NA,"Active","","","http://www.redfin.com/MO/Frontenac/515-High-Meadow-Rd-63131/home/93501756","MARIS","20002221","N","Y",38.6159,-90.4174151,2020,1631
"MLS Listing",NA,"Single Family Residential","6024 Maple Ave","St Louis","MO","63112",245000,3,2,"Central West",2378,6882,2004,102,103,NA,"Active","","","http://www.redfin.com/MO/St-Louis/6024-Maple-Ave-63112/home/93672169","MARIS","19080313","N","Y",38.6614432,-90.2930646,2020,1944
"MLS Listing",NA,"Single Family Residential","4228 E Page","St Louis","MO","63113",7000,3,1,"North",1408,4343,1897,208,5,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4228-E-Page-Blvd-63113/home/62732863","MARIS","18046972","N","Y",38.6517935,-90.2414199,2018,6
"MLS Listing",NA,"Single Family Residential","543 Oakhaven Ln","St Louis","MO","63141",1240000,6,7,"Ladue",4983,23087,2011,7,249,NA,"Active","","","http://www.redfin.com/MO/Creve-Coeur/543-Oakhaven-Ln-63141/home/93463439","MARIS","20006692","N","Y",38.6683122,-90.4239456,2020,2127
"MLS Listing",NA,"Single Family Residential","4711 Lewis Pl","St Louis","MO","63113",60000,2,1,"North",1128,7057,1923,323,53,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4711-Lewis-Pl-63113/home/93739453","MARIS","18009670","N","Y",38.6551846,-90.2553481,2018,125
"MLS Listing",NA,"Single Family Residential","4 Country Fair","Creve Coeur","MO","63141",455000,4,3,"Ladue",1758,16901,1956,267,259,NA,"Active","","","http://www.redfin.com/MO/Creve-Coeur/4-Country-Fair-Ln-63141/home/93472527","MARIS","18025121","N","Y",38.656488,-90.407902,2018,1003
"MLS Listing",NA,"Single Family Residential","12 Lynne Ct","Olivette","MO","63132",1195000,5,5,"Ladue",3808,21780,NA,140,314,NA,"Active","","","http://www.redfin.com/MO/Olivette/12-Lynne-Ct-63132/home/146729473","MARIS","18066282","N","Y",38.667282,-90.3835821,2018,1187
"MLS Listing",NA,"Single Family Residential","26 Macarthur Ct","St Charles","MO","63304",434900,3,2,"Francis Howell Cntrl",2293,9148,NA,107,190,21,"Active","","","http://www.redfin.com/MO/Unknown/26-MacArthur-Ct-63304/home/147114876","MARIS","18075083","N","Y",38.744316,-90.62287,2018,1399
"MLS Listing",NA,"Single Family Residential","15 Kings Lynn","St Louis","MO","63132",520000,4,4,"Ladue",2160,16814,1951,55,241,14,"Active","","","http://www.redfin.com/MO/Olivette/15-Kings-Lynn-63132/home/62702105","MARIS","18087994","N","Y",38.664553,-90.367338,2018,1043
"MLS Listing",NA,"Single Family Residential","2630 Oregon Ave","St Louis","MO","63118",74000,2,1,"Central East",879,3136,1904,301,84,NA,"Active","","","http://www.redfin.com/MO/St-Louis/2630-Oregon-Ave-63118/home/93699426","MARIS","18017150","N","Y",38.605552,-90.2284279,2018,160
"MLS Listing",NA,"Single Family Residential","7718 Page Ave","St Louis","MO","63133",57000,2,1,"Normandy",972,7492,1927,11,59,NA,"Active","","","http://www.redfin.com/MO/St-Louis/7718-Page-Ave-63133/home/93445869","MARIS","20006119","N","Y",38.6803645,-90.3237645,2020,1859
"MLS Listing",NA,"Vacant Land","10166 Winding Ridge Rd","Ladue","MO","63124",1250000,NA,NA,"Ladue",NA,78408,NA,98,NA,NA,"Active","","","http://www.redfin.com/MO/St-Louis/10166-Winding-Ridge-Rd-63124/home/93490606","MARIS","18076490","N","Y",38.6278958,-90.4030388,2018,1191
"MLS Listing",NA,"Single Family Residential","57 Pricewoods","St Louis","MO","63132",320000,3,3,"Ladue",1800,12589,1960,118,178,21,"Active","","","http://www.redfin.com/MO/Olivette/57-Pricewoods-Ln-63132/home/93461720","MARIS","18072938","N","Y",38.665107,-90.365453,2018,863
"MLS Listing",NA,"Vacant Land","8694 W Kingsbury Ave","St Louis","MO","63124",200000,NA,NA,"University City",NA,9365,NA,86,NA,NA,"Active","","","http://www.redfin.com/MO/St-Louis/8694-W-Kingsbury-Ave-63124/home/62686557","MARIS","19079813","N","Y",38.6583678,-90.3611917,2020,1708
"For-Sale-by-Owner Listing",NA,"Single Family Residential","7248 Gravois Ave","St. Louis","MO","63116",200000,1,1,"Saint Louis",3400,3400,1995,265,59,NA,"Active","","","http://www.redfin.com/MO/St-Louis/7248-Gravois-Ave-63116/home/145310748","Fizber.com","4957662","N","Y",38.564913,-90.292589,2018,637
"MLS Listing",NA,"Single Family Residential","6104 Vetter","St Louis","MO","63120",29900,4,1,"Normandy",950,7667,NA,34,31,NA,"Active","","","http://www.redfin.com/MO/St-Louis/6104-Vetter-Pl-63120/home/62698832","MARIS","19091231","N","Y",38.6926075,-90.275008,2020,1898
"MLS Listing",NA,"Single Family Residential","754 Brownell Ave","St Louis","MO","63122",399900,3,3,"Kirkwood",1846,10019,1938,31,217,NA,"Active","January-6-2019 1:00 PM","January-6-2019 3:00 PM","http://www.redfin.com/MO/St-Louis/754-Brownell-Ave-63122/home/93529335","MARIS","18092837","N","Y",38.5934286,-90.3900477,2018,957
"MLS Listing",NA,"Single Family Residential","5038 5040 Enright Ave","St Louis","MO","63108",90500,6,2,"Central West",1200,5097,1904,116,75,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5040-Enright-Ave-63108/unit-2/home/147006927","MARIS","18071554","N","Y",38.6526989,-90.2649811,2018,203
"New Construction Plan",NA,"Single Family Residential","The Huntington","Saint Louis","MO","63141",1873200,4,5,"Conway Estates",4683,NA,NA,NA,400,NA,"Active","","","http://www.redfin.com/MO/St-Louis/Conway-Estates/The-Huntington/home/169955256","NewHomeSource.com","Plan-101570853","N","Y",38.6493304,-90.4972698,2020,2127
"MLS Listing",NA,"Single Family Residential","22 Flamingo","Crestwood","MO","63123",229000,3,3,"Lindbergh",1360,11021,1952,151,168,NA,"Active","","","http://www.redfin.com/MO/St-Louis/22-Flamingo-Dr-63123/home/93562902","MARIS","18049131","N","Y",38.5637516,-90.3605483,2018,709
"MLS Listing",NA,"Single Family Residential","5072 Cates Ave","St Louis","MO","63108",28000,0,NA,"Central West",1900,5314,NA,52,15,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5072-Cates-Ave-63108/home/85688089","MARIS","18089584","N","Y",38.655047,-90.265678,2018,52
"New Construction Plan",NA,"Single Family Residential","Oakmont","Saint Charles","MO","63303",231604,3,2,"Talbridge",NA,NA,NA,NA,NA,NA,"Active","","","http://www.redfin.com/MO/Saint-Charles/Talbridge/Oakmont/home/108851015","NewHomeSource.com","Plan-70822031","N","Y",38.7602188,-90.5093707,2018,1508
"MLS Listing",NA,"Vacant Land","12 Radnor Rd","Huntleigh","MO","63131",1100000,NA,NA,"Kirkwood",NA,140699,NA,11,NA,NA,"Active","","","http://www.redfin.com/MO/St-Louis/2535-S-Lindbergh-Blvd-63131/home/168281848","MARIS","20002337","N","Y",38.6169923,-90.4061325,2020,1633
"New Construction Plan",NA,"Single Family Residential","The Montgomery - 3 Car Garage","Saint Charles","MO","63301",242900,3,2,"Charlestowne Place",1498,NA,NA,NA,162,NA,"Active","","","http://www.redfin.com/MO/Saint-Charles/Charlestowne-Place/The-Montgomery-3-Car-Garage/home/144901420","NewHomeSource.com","Plan-71556600","N","Y",38.827639,-90.48084,2018,1550
"MLS Listing",NA,"Single Family Residential","5716 Westminster Pl","St Louis","MO","63112",222500,3,3,"Central West",1528,6621,1981,38,146,28,"Active","","","http://www.redfin.com/MO/St-Louis/5716-Westminster-Pl-63112/home/62738152","MARIS","18091565","N","Y",38.652099,-90.285335,2018,669
"MLS Listing",NA,"Single Family Residential","9506 Arban Dr","St Louis","MO","63126",229900,3,2,"Lindbergh",1688,7884,1955,48,136,NA,"Active","","","http://www.redfin.com/MO/St-Louis/9506-Arban-Dr-63126/home/93561965","MARIS","18089717","N","Y",38.5543667,-90.377447,2018,683
"New Construction Plan",NA,"Single Family Residential","The Denali II","Saint Charles","MO","63304",527990,4,2.5,"Bluffs at Windcastle",3614,NA,NA,NA,146,NA,"Active","","","http://www.redfin.com/MO/Weldon-Spring/Bluffs-at-Windcastle/The-Denali-II/home/148131013","NewHomeSource.com","Plan-61458372","N","Y",38.71098,-90.607679,2018,1588
"MLS Listing",NA,"Single Family Residential","4336 Beck Ave","St Louis","MO","63116",64900,3,1,"South City",1600,5314,1891,80,41,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4336-Beck-Ave-63116/home/93729692","MARIS","18082304","N","Y",38.5917283,-90.2645166,2018,133
"New Construction Plan",NA,"Single Family Residential","Edison","Saint Charles","MO","63301",295900,4,2.5,"Provence, The Villages of",2368,NA,NA,NA,125,NA,"Active","","","http://www.redfin.com/MO/St-Charles/Provence-The-Villages-of/Edison/home/148442949","NewHomeSource.com","Plan-71578507","N","Y",38.804399,-90.485759,2018,1553
"MLS Listing",NA,"Condo/Co-op","4101 Laclede Ave #316","St Louis","MO","63108",465000,2,2,"Central West",1568,33236,NA,328,297,564,"Active","","","http://www.redfin.com/MO/St-Louis/4101-Laclede-Ave-63108/unit-316/home/143940047","MARIS","17093759","N","Y",38.637596,-90.246949,2018,1007
"MLS Listing",NA,"Single Family Residential","1303 S Boyle Ave","St Louis","MO","63110",375000,3,3,"South City",1988,NA,2017,48,189,NA,"Active","","","http://www.redfin.com/MO/St-Louis/1303-S-Boyle-Ave-63110/home/146873923","MARIS","18090358","N","Y",38.625417,-90.2537866,2018,936
"MLS Listing",NA,"Single Family Residential","5119 Mccausland Ave","St Louis","MO","63109",239900,2,2,"South City",1061,8364,1952,85,226,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5119-McCausland-Ave-63109/home/93781549","MARIS","18081263","N","Y",38.5846866,-90.3104649,2018,727
