"SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","YEAR.DOWNLOADED","X"
"MLS Listing",NA,"Condo/Co-op","15 Topton Way Unit 2C","Clayton","MO","63105",985000,2,3,"Clayton",2242,NA,2001,7,439,525,"Active","","","http://www.redfin.com/MO/Clayton/15-Topton-Way-63105/unit-2C/home/93631315","MARIS","20003338","N","Y",38.650101,-90.3447149,2020,1618
"MLS Listing",NA,"Single Family Residential","4323 Gibson Ave","St Louis","MO","63110",210000,2,2,"South City",1584,3267,1892,71,133,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4323-Gibson-Ave-63110/home/93751324","MARIS","18084741","N","Y",38.628474,-90.2551281,2018,648
"MLS Listing",NA,"Vacant Land","9710 Litzsinger Rd","Ladue","MO","63124",1490000,NA,NA,"Ladue",NA,206474,NA,248,NA,NA,"Active","","","http://www.redfin.com/MO/St-Louis/9710-Litzsinger-Rd-63124/home/62776192","MARIS","19036125","N","Y",38.621343,-90.377915,2020,1785
"MLS Listing",NA,"Single Family Residential","2342 Albion Pl","St Louis","MO","63104",299000,4,3,"Central East",3045,5097,1891,91,98,NA,"Active","","","http://www.redfin.com/MO/St-Louis/2342-Albion-Pl-63104/home/70078076","MARIS","18080304","N","Y",38.6167348,-90.2199639,2018,833
"MLS Listing",NA,"Single Family Residential","9837 Hudson Ave","St Louis","MO","63119",622410,4,4,"Webster Groves",2600,6708,NA,90,239,42,"Active","","","http://www.redfin.com/MO/St-Louis/9837-Hudson-Ave-63119/home/93499882","MARIS","18080709","N","Y",38.6090145,-90.3756459,2018,1101
"MLS Listing",NA,"Single Family Residential","3 Girard Dr","Webster Groves","MO","63119",259900,3,2,"Webster Groves",1398,8494,1947,129,186,NA,"Active","January-6-2019 12:00 PM","January-6-2019 2:00 PM","http://www.redfin.com/MO/Webster-Groves/3-Girard-Dr-63119/home/93540973","MARIS","18069771","N","Y",38.567416,-90.34808,2018,770
"MLS Listing",NA,"Single Family Residential","5083 Westminster","St Louis","MO","63108",675000,5,4,"Central West",3089,7492,1903,77,219,50,"Active","","","http://www.redfin.com/MO/St-Louis/5083-Westminster-Pl-63108/home/93633504","MARIS","18083079","N","Y",38.6499158,-90.2669375,2018,1117
"MLS Listing",NA,"Single Family Residential","39 Hanley Downs Dr","St Louis","MO","63117",399900,3,3,"Brentwood",1508,8843,1954,77,265,21,"Active","","","http://www.redfin.com/MO/St-Louis/39-Hanley-Downs-63117/home/93490321","MARIS","19079536","N","Y",38.6308579,-90.3352564,2020,1698
"MLS Listing",NA,"Condo/Co-op","7743 Kingsbury Blvd #11","St Louis","MO","63105",365000,2,3,"Clayton",1713,958,1942,28,213,573,"Active","","","http://www.redfin.com/MO/St-Louis/7743-Kingsbury-Blvd-63105/unit-11/home/93325845","MARIS","18081202","N","Y",38.6562579,-90.3352019,2018,925
"MLS Listing",NA,"Single Family Residential","1150 Sutter Ave","St Louis","MO","63130",89000,3,1,"University City",1176,4400,1901,44,76,NA,"Active","","","http://www.redfin.com/MO/St-Louis/1150-Sutter-Ave-63130/home/93456576","MARIS","19090754","N","Y",38.6680561,-90.3022768,2020,1911
"New Construction Plan",NA,"Single Family Residential","The Westhampton II - 3 Car Garage","Saint Charles","MO","63301",349900,4,2.5,"Charlestowne Place",3056,NA,NA,NA,114,NA,"Active","","","http://www.redfin.com/MO/Saint-Charles/Charlestowne-Place/The-Westhampton-II-3-Car-Garage/home/144901406","NewHomeSource.com","Plan-71556611","N","Y",38.827639,-90.48084,2018,1510
"MLS Listing",NA,"Single Family Residential","7115 Hosmer Ave","St Louis","MO","63123",199900,2,2,"Affton",1624,16553,1952,63,123,NA,"Active","","","http://www.redfin.com/MO/Affton/7115-Hosmer-Ave-63123/home/93560765","MARIS","18087074","N","Y",38.5578672,-90.3393019,2018,626
"MLS Listing",NA,"Single Family Residential","128 Hammel Ave","St Louis","MO","63119",575000,5,4,"Webster Groves",2800,7144,NA,631,205,NA,"Active","","","http://www.redfin.com/MO/St-Louis/128-Hammel-Ave-63119/home/113715072","MARIS","17029117","N","Y",38.596864,-90.3723823,2018,1085
"MLS Listing",NA,"Single Family Residential","4344 Gannett","St Louis","MO","63116",105000,2,1,"South City",768,3223,1911,48,137,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4344-Gannett-St-63116/home/93763621","MARIS","18088307","N","Y",38.584335,-90.267982,2018,249
"MLS Listing",NA,"Condo/Co-op","520 North And South #102","University City","MO","63130",545000,2,3,"University City",2000,1368,2004,16,273,650,"Active","","","http://www.redfin.com/MO/St-Louis/520-N-and-South-Rd-63130/unit-102/home/93321718","MARIS","18095151","N","Y",38.6578059,-90.3373804,2018,1072
"MLS Listing",NA,"Vacant Land","2620 Lyle Ave","St Louis","MO","63143",19900,NA,NA,"Maplewood-Rchmnd Hts",NA,3441,NA,181,NA,NA,"Active","","","http://www.redfin.com/MO/Maplewood/2620-Lyle-Ave-63143/home/105204966","MARIS","18054367","N","Y",38.6140574,-90.3214346,2018,33
"MLS Listing",NA,"Single Family Residential","1334 Cordata (arbors 23) Dr","Frontenac","MO","63131",995098,2,3,"Ladue",3201,NA,NA,31,311,NA,"Active","","","http://www.redfin.com/MO/Frontenac/1334-Cordata-arbors-23-DR-63131/home/170156115","MARIS","19089173","N","Y",38.634418,-90.414338,2020,1663
"MLS Listing",NA,"Single Family Residential","3714 Upton St","St Louis","MO","63116",119000,2,2,"South City",840,3615,1960,70,142,NA,"Active","","","http://www.redfin.com/MO/St-Louis/3714-Upton-St-63116/home/93751437","MARIS","18086121","N","Y",38.5562441,-90.269065,2018,294
"MLS Listing",NA,"Single Family Residential","5845 Staely Ave","St Louis","MO","63123",125000,2,2,"Affton",768,7187,1950,84,163,NA,"Active","","","http://www.redfin.com/MO/Affton/5845-Staely-Ave-63123/home/93559907","MARIS","18081578","N","Y",38.5630177,-90.316304,2018,327
"MLS Listing",NA,"Single Family Residential","425 Wenneker","Ladue","MO","63124",299000,3,3,"Ladue",1643,20735,1956,44,182,25,"Active","","","http://www.redfin.com/MO/St-Louis/425-Wenneker-Dr-63124/home/93479617","MARIS","18090206","N","Y",38.6461353,-90.3516197,2018,830
"MLS Listing",NA,"Single Family Residential","13028 Conway Estates Dr","Town and Country","MO","63141",950000,4,5,"Parkway Central",3842,47916,1979,30,247,21,"Active","","","http://www.redfin.com/MO/St-Louis/13028-Conway-Estates-Dr-63141/home/93473933","MARIS","20001651","N","Y",38.6493843,-90.4818779,2020,2127
"MLS Listing",NA,"Single Family Residential","2102 S Warson Rd","Ladue","MO","63124",1800000,8,8,"Ladue",7937,135907,1948,136,227,NA,"Active","","","http://www.redfin.com/MO/St-Louis/2102-Warson-Rd-63124/home/93490630","MARIS","18062382","N","Y",38.628295,-90.394386,2018,1217
"MLS Listing",NA,"Single Family Residential","3706 Ohio Ave","St Louis","MO","63118",27500,2,2,"Central East",1230,3441,1877,63,22,NA,"Active","","","http://www.redfin.com/MO/St-Louis/3706-Ohio-Ave-63118/home/93696543","MARIS","18087638","N","Y",38.5879126,-90.2286473,2018,51
